"order_delivery_no","order_id","invoice_type"
"1413024413990842370","1412962980048715777","2"
"CK21062803123","1408610468840980482","2"
"CK21072806965","1408610468877426690","2"
"CK21063001912","1408610468877426690","2"
"CK21062808679","1408610469165273090","2"
"CK21063001972","1408610469199032322","2"
"CK21080200468","1408610469478580225","2"
"CK21062903851","1408610469478580225","2"
"CK21062905427","1408610469574983682","2"
"CK21062901137","1408610472899764226","2"
"CK21062901173","1408610472947269634","2"
"CK21063001257","1408610472968241154","2"
"CK21063001383","1408610473049403393","2"
"CK21063001005","1408610473103335425","2"
"CK21063001393","1408610473133289474","2"
"CK21072805539","1408610473184976897","5"
"CK21063002030","1408610473184976897","5"
"CK21072804494","1408610473376927745","2"
"CK21062809460","1408610473376927745","2"
"CK21072803851","1408610473456619521","2"
"CK21063002973","1408610473456619521","2"
"CK21072807297","1408610473510182913","1"
"CK21063005657","1408610473510182913","1"
"CK21062802942","1408610473531154433","2"
"CK21062901055","1408610473779007490","2"
"CK21072805605","1408610473832267778","5"
"CK21062904628","1408610473832267778","5"
"CK21062808627","1408610473938001922","2"
"CK21080201888","1408610474064793602","2"
"CK21062805384","1408610474064793602","2"
"CK21080200165","1408610474201300994","2"
"CK21062903892","1408610474201300994","2"
"CK21072803733","1408610474320646146","2"
"CK21062810027","1408610474320646146","2"
"CK21062905245","1408610474453024769","2"
"CK21072803843","1408610474514571266","2"
"CK21062809950","1408610474514571266","2"
"CK21063002905","1408610474785251329","2"
"CK21072803729","1408610474938195970","2"
"CK21063003048","1408610474938195970","2"
"CK21063001370","1408610474962006018","2"
"CK21072804031","1408610475087630339","2"
"CK21062809817","1408610475087630339","2"
"CK21072803732","1408610475254136834","2"
"CK21062810028","1408610475254136834","2"
"CK21072803839","1408610475472175106","2"
"CK21063002977","1408610475472175106","2"
"CK21080200159","1408610475511459842","2"
"CK21062903893","1408610475511459842","2"
"CK21062807965","1408610475539349505","2"
"CK21072806761","1408610475610587137","2"
"CK21063002302","1408610475610587137","2"
"CK21063001909","1408610475625074691","2"
"CK21072804439","1408610477119234050","2"
"CK21063002679","1408610477119234050","2"
"CK21063001296","1408610477548421122","2"
"CK21062808684","1408610477591834626","2"
"CK21063001765","1408610477738041345","2"
"CK21063002019","1408610477821050882","2"
"CK21080200440","1408610477868138497","2"
"CK21063000281","1408610477868138497","2"
"CK21063003535","1408610478169178113","2"
"CK21072803984","1408610478213947393","1"
"CK21062809852","1408610478213947393","1"
"CK21062904657","1408610478270717953","2"
"CK21080200980","1408610478370504706","2"
"CK21062905822","1408610478370504706","2"
"CK21062904941","1408610478374633473","2"
"CK21063001908","1408610478380363778","2"
"CK21063002774","1408610478448828417","2"
"CK21062901148","1408610478548135937","2"
"CK21063001405","1408610478681833474","2"
"CK21063002569","1408610478943756290","2"
"CK21063001957","1408610478980517891","2"
"CK21072804070","1408610478987067394","2"
"CK21062809789","1408610478987067394","2"
"CK21062807976","1408610479058305026","2"
"CK21072803816","1408610479122550786","2"
"CK21062904374","1408610479122550786","2"
"CK21072802566","1408610479127318530","2"
"CK21062904518","1408610479127318530","2"
"CK21072804021","1408610479156105217","2"
"CK21063002884","1408610479156105217","2"
"CK21062802763","1408610479679062018","2"
"CK21080200736","1408610479713947654","2"
"CK21062905936","1408610479713947654","2"
"CK21072803898","1408610479762948098","2"
"CK21062809913","1408610479762948098","2"
"CK21072804236","1408610479821733890","2"
"CK21062809669","1408610479821733890","2"
"CK21062903708","1408610480557207557","2"
"CK21062808700","1408610480669859842","2"
"CK21072807142","1408610480716386306","2"
"CK21063001585","1408610480716386306","2"
"CK21072805536","1408610480728580097","2"
"CK21063002032","1408610480728580097","2"
"CK21072805538","1408610480883769346","2"
"CK21062808705","1408610480883769346","2"
"CK21062905938","1408610480968044545","2"
"CK21080200434","1408610481060524033","2"
"CK21063000285","1408610481060524033","2"
"CK21072804001","1408610481148010497","2"
"CK21062809839","1408610481148010497","2"
"CK21062901156","1408610481222565890","2"
"CK21072802932","1408610481229651970","2"
"CK21063003372","1408610481229651970","2"
"CK21062805718","1408610481350299649","2"
"CK21062905662","1408610481549721601","2"
"CK21072804004","1408610481587470337","2"
"CK21062809837","1408610481587470337","2"
"CK21080200811","1408610481723019265","2"
"CK21062905903","1408610481723019265","2"
"CK21080201337","1408610481860100098","2"
"CK21062905658","1408610481860100098","2"
"CK21072806962","1408610481999454209","2"
"CK21063001914","1408610481999454209","2"
"CK21072804654","1408610482407264258","2"
"CK21063002562","1408610482407264258","2"
"CK21072806362","1408610482616406018","2"
"CK21063002976","1408610482616406018","2"
"CK21072805087","1408610483036041218","2"
"CK21062809010","1408610483036041218","2"
"CK21062905945","1408610483123527681","2"
"CK21080200711","1408610483238723586","2"
"CK21062905947","1408610483238723586","2"
"CK21063002576","1408610483247112193","2"
"CK21063002969","1408610485146144769","2"
"CK21072806618","1408610485153570818","2"
"CK21063006071","1408610485153570818","2"
"CK21072805998","1408610485203025922","1"
"CK21063006442","1408610485203025922","1"
"CK21063005027","1408610485312012289","2"
"CK21072804321","1408610485321936898","2"
"CK21062809596","1408610485321936898","2"
"CK21063002449","1408610485329731585","5"
"CK21062900891","1408610485584642050","2"
"CK21072802661","1408610485690515458","2"
"CK21062902363","1408610485690515458","2"
"CK21062808391","1408610485770727426","2"
"CK21080201324","1408610485977604100","2"
"CK21062805851","1408610485977604100","2"
"CK21080201205","1408610485999943682","2"
"CK21062805949","1408610485999943682","2"
"CK21080201590","1408610486004072450","2"
"CK21062805626","1408610486004072450","2"
"CK21072804650","1408610486019547137","2"
"CK21062809343","1408610486019547137","2"
"CK21080200622","1408610486058598402","2"
"CK21062806371","1408610486058598402","2"
"CK21062806892","1408610486286032897","2"
"CK21080200628","1408610486300565505","2"
"CK21062806369","1408610486300565505","2"
"CK21080200164","1408610486362492930","2"
"CK21062806741","1408610486362492930","2"
"CK21062904180","1408610486483238913","1"
"CK21080202716","1408610486567051266","1"
"CK21062804686","1408610486567051266","1"
"CK21063005348","1408610486684565505","2"
"CK21063002005","1408610486692003841","2"
"CK21063001582","1408610486856847361","5"
"CK21080200597","1408610486916141058","2"
"CK21062806393","1408610486916141058","2"
"CK21062808176","1408610487171993601","5"
"CK21072804860","1408610487297454083","2"
"CK21063002454","1408610487297454083","2"
"CK21072806661","1408610487309443074","2"
"CK21063006039","1408610487309443074","2"
"CK21062904924","1408610487630159874","1"
"CK21072802411","1408610488624209922","2"
"CK21062902546","1408610488624209922","2"
"CK21080201482","1408610488804564994","2"
"CK21062805716","1408610488804564994","2"
"CK21080201599","1408610488819986433","2"
"CK21062805619","1408610488819986433","2"
"CK21062807856","1408610488836169730","2"
"CK21080200638","1408610488859090945","2"
"CK21062806362","1408610488859090945","2"
"CK21062808397","1408610488983044097","2"
"CK21062803331","1408610489028165633","2"
"CK21080200647","1408610489058467841","2"
"CK21062806356","1408610489058467841","2"
"CK21072804323","1408610489078497281","2"
"CK21062809594","1408610489078497281","2"
"CK21080201348","1408610489155899394","2"
"CK21062805832","1408610489155899394","2"
"CK21080202727","1408610489271435266","2"
"CK21062804680","1408610489271435266","2"
"CK21062806881","1408610489312075777","2"
"CK21080202689","1408610489314914305","2"
"CK21062804710","1408610489314914305","2"
"CK21062807313","1408610489406668803","2"
"CK21072804643","1408610489477021698","1"
"CK21062809348","1408610489477021698","1"
"CK21072804200","1408610489676980226","2"
"CK21062809695","1408610489676980226","2"
"CK21080200982","1408610489763704835","2"
"CK21062905820","1408610489763704835","2"
"CK21080200315","1408610490031546369","2"
"CK21063000348","1408610490031546369","2"
"CK21072805102","1408610490040008705","5"
"CK21062809012","1408610490040008705","5"
"CK21080201082","1408610490139721729","2"
